Name	Beschreibung	Status  	Starttyp	Anmelden als
ActiveX-Installer (AxInstSV)	Bietet eine Bewertung der Benutzerkontensteuerung für die Installation von ActiveX-Steuerelementen aus dem Internet und ermöglicht die Verwaltung der ActiveX-Steuerelementinstallation basierend auf Gruppenrichtlinieneinstellungen. Dieser Dienst wird bei Bedarf gestartet. Bei Deaktivierung wird die Installation der ActiveX-Steuerelemente gemäß den Standardbrowsereinstellungen ausgeführt.		Manuell	Lokales System
AllJoyn-Routerdienst	Leitet AllJoyn-Mitteilungen für die lokalen AllJoyn-Clients um. Wenn dieser Dienst angehalten wird, können die AllJoyn-Clients, die nicht über eigene gebündelte Router verfügen, nicht ausgeführt werden.		Manuell (Start durch Auslöser)	Lokaler Dienst
Anmelde-Assistent für Microsoft-Konten	Ermöglicht Benutzeranmeldungen unter Verwendung der Microsoft-Konto-Identitätsdienste. Wird dieser Dienst beendet, können sich die Benutzer nicht mehr mit ihrem Microsoft-Konto beim Computer anmelden.		Manuell (Start durch Auslöser)	Lokales System
Anmeldedienst	Unterstützt einen sicheren Kanal zwischen diesem Computer und dem Domänencontroller zum Authentifizieren von Benutzern und Diensten. Möglicherweise wird der Computer Benutzer und Dienste nicht authentifizieren und der Domänencontroller kann keine DNS-Einträge registrieren, falls dieser Dienst beendet wird. Falls dieser Dienst deaktiviert wird, können die Dienste, die von diesem Dienst ausschließlich abhängig sind, nicht mehr gestartet werden.		Manuell	Lokales System
Anmeldeinformationsverwaltung	Ermöglicht das sichere Speichern und Abrufen von Anmeldeinformationen für Benutzer, Anwendungen und Sicherheitsdienstpakete.		Manuell	Lokales System
Anschlussumleitung für Remotedesktopdienst im Benutzermodus	Ermöglicht die Umleitung von Druckern, Laufwerken und Anschlüssen für RDP-Verbindungen.		Manuell	Lokales System
Anwendungsidentität	Bestimmt und überprüft die Identität einer Anwendung. Durch Deaktivierung dieses Diensts wird verhindert, dass AppLocker erzwungen wird.		Manuell (Start durch Auslöser)	Lokaler Dienst
Anwendungsinformationen	Erleichtert das Ausführen von interaktiven Anwendungen mit zusätzlichen Administratorrechten. Wird dieser Dienst angehalten, können die Benutzer keine Anwendungen mit zusätzlichen Administratorrechten starten, die zum Ausführen gewünschter Benutzeraufgaben erforderlich sind.	Wird ausgeführt	Manuell (Start durch Auslöser)	Lokales System
Anzeigeverbesserungsdienst	Ein Dienst zur Verwaltung der Anzeigeverbesserung, z. B. zur Steuerung der Helligkeit.		Manuell (Start durch Auslöser)	Lokales System
App-Vorbereitung	Bereitet Apps zur sofortigen Verwendung vor, sobald sich ein Benutzer zum ersten Mal an diesem PC anmeldet und neue Apps hinzugefügt werden.		Manuell	Lokales System
